num_cols,num_iter,selector,n_neighbors,n_components,cost,ISE,IAE,dataset_name,T_past,T_fut,p,m,q_0,q_1,q_2,q_3,q_4,q_5,r_0,r_1,r_2,lambda_1,lambda_pi,x_ini,y_ini,theta_ini
150,1,isomap_embedder_nn4,4,96,1.0883442959588832,0.004039179910127252,0.006049921950878331,random_walk,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
200,1,isomap_embedder_nn4,4,96,0.8676640911436022,0.0037456703169637512,0.005791620890016833,random_walk,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
250,1,isomap_embedder_nn4,4,96,0.7968976441429803,0.0035146471755637147,0.005590918515965041,random_walk,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
300,1,isomap_embedder_nn4,4,96,0.8408117605879011,0.003891756101473662,0.0061719601849989526,random_walk,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
500,1,isomap_embedder_nn4,4,96,0.7246927060426913,0.0027593993332566693,0.004361122104524406,random_walk,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
1000,1,isomap_embedder_nn4,4,96,0.7428166084856235,0.0029461153831066207,0.004531913686362577,random_walk,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
2500,1,isomap_embedder_nn4,4,96,0.8319297791677006,0.0038900494597216583,0.005674111862370059,random_walk,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
5208,1,isomap_embedder_nn4,4,96,inf,inf,inf,random_walk,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
150,1,isomap_embedder_nn4,4,96,0.9310078519048821,0.003847591014767785,0.005816064810894933,random_walk_plus_pid,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
200,1,isomap_embedder_nn4,4,96,0.835574767859487,0.0034997439851023843,0.005611270188311968,random_walk_plus_pid,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
250,1,isomap_embedder_nn4,4,96,0.754517989591867,0.0032541814318777064,0.0054138054880710365,random_walk_plus_pid,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
300,1,isomap_embedder_nn4,4,96,0.770363327507541,0.003384567943328613,0.005637808336342312,random_walk_plus_pid,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
500,1,isomap_embedder_nn4,4,96,0.7903941976989569,0.0030655711246512316,0.005015728389078909,random_walk_plus_pid,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
1000,1,isomap_embedder_nn4,4,96,1.174766728064566,0.004983716535045511,0.007259065190506485,random_walk_plus_pid,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
2500,1,isomap_embedder_nn4,4,96,1.5644758403783663,0.0056612353689649165,0.008426305080433245,random_walk_plus_pid,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
6649,1,isomap_embedder_nn4,4,96,2.1453309368088456,0.006624706676886015,0.008819425661754018,random_walk_plus_pid,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
150,1,isomap_embedder_nn4,4,96,0.7971319598221095,0.0030044626907065816,0.004672312902466958,iid,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
200,1,isomap_embedder_nn4,4,96,0.7215705167420204,0.002755165930431404,0.0044608648680850285,iid,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
250,1,isomap_embedder_nn4,4,96,0.7107470473887343,0.0028043722701595387,0.004560850926733059,iid,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
300,1,isomap_embedder_nn4,4,96,0.7519679261791885,0.003308196581162224,0.005191926882794986,iid,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
500,1,isomap_embedder_nn4,4,96,0.6728237782672842,0.0025860838094501014,0.004201196841446115,iid,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
1000,1,isomap_embedder_nn4,4,96,0.6771558328204642,0.0025256935502281303,0.00411128882210841,iid,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
2500,1,isomap_embedder_nn4,4,96,0.7171909781476664,0.003119240427582808,0.004862604377338336,iid,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
6203,1,isomap_embedder_nn4,4,96,1.2649192910309202,0.005425761137268021,0.007481748557436009,iid,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
