num_cols,num_iter,selector,n_neighbors,n_components,cost,ISE,IAE,dataset_name,T_past,T_fut,p,m,q_0,q_1,q_2,q_3,q_4,q_5,r_0,r_1,r_2,lambda_1,lambda_pi,x_ini,y_ini,theta_ini
150,1,random_selector,4,96,inf,inf,inf,random_walk,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
200,1,random_selector,4,96,1.3511056921112643,0.004992263630174938,0.006784642818421931,random_walk,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
250,1,random_selector,4,96,1.3618418357771565,0.005479622468845816,0.0074572388793447955,random_walk,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
300,1,random_selector,4,96,1.654025071804196,0.006022515997170791,0.007836940210641567,random_walk,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
500,1,random_selector,4,96,inf,inf,inf,random_walk,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
1000,1,random_selector,4,96,1.295204334521376,0.0054587009831944125,0.007707447251578693,random_walk,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
2500,1,random_selector,4,96,0.9850386825076118,0.004479793143579623,0.006601035193417792,random_walk,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
5208,1,random_selector,4,96,inf,inf,inf,random_walk,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
150,1,random_selector,4,96,1.074668827910763,0.004814290860426097,0.006986999752424472,random_walk_plus_pid,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
200,1,random_selector,4,96,0.9622506316767185,0.004184316115875195,0.006148376474883413,random_walk_plus_pid,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
250,1,random_selector,4,96,0.9762089772036153,0.004483484774849833,0.006572249663023084,random_walk_plus_pid,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
300,1,random_selector,4,96,1.0009879987299226,0.004374443139306486,0.006387336349084232,random_walk_plus_pid,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
500,1,random_selector,4,96,0.8541342495522515,0.003956103512356638,0.005909128022541599,random_walk_plus_pid,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
1000,1,random_selector,4,96,0.8087291889878724,0.003667956766454701,0.0055340967706118465,random_walk_plus_pid,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
2500,1,random_selector,4,96,1.1188723324469958,0.004862889290339134,0.00699210241976671,random_walk_plus_pid,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
6649,1,random_selector,4,96,2.1516311556406826,0.006637749717972509,0.008835487123499068,random_walk_plus_pid,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
150,1,random_selector,4,96,0.8222427347229345,0.003858337067933222,0.005836196457116157,iid,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
200,1,random_selector,4,96,0.8895683507449802,0.004159327494579043,0.006197176750905364,iid,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
250,1,random_selector,4,96,0.8034017470409565,0.0037390165673664025,0.005644260438431856,iid,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
300,1,random_selector,4,96,0.8415331271384819,0.003944625102020281,0.0058894828097421584,iid,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
500,1,random_selector,4,96,0.7465008791578405,0.0032825449745040804,0.005067509068521896,iid,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
1000,1,random_selector,4,96,0.780446416959948,0.003589724492812426,0.0053769985412886355,iid,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
2500,1,random_selector,4,96,0.9206446864221868,0.004240389230063163,0.0062786895433634545,iid,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
6203,1,random_selector,4,96,1.2633407260223322,0.005419853080014454,0.007473844747392234,iid,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
